country_ch,country_en,cases,deaths
美國,United States,"76,407,539","923,087"
印度,India,"42,272,014","502,874"
巴西,Brazil,"26,599,593","632,621"
法國,France,"20,804,372","132,923"
英國,United Kingdom,"17,866,632","158,363"
俄羅斯,Russia,"12,982,023","336,023"
土耳其,Turkey,"12,335,015","88,970"
義大利,Italy,"11,663,338","149,097"
德國,Germany,"11,117,857","118,766"
西班牙,Spain,"10,395,471","94,570"
阿根廷,Argentina,"8,615,285","122,943"
伊朗,Iran,"6,619,085","132,934"
哥倫比亞,Colombia,"5,975,786","135,992"
波蘭,Poland,"5,188,184","106,607"
墨西哥,Mexico,"5,151,525","309,546"
荷蘭,Netherlands,"4,969,660","21,336"
印尼,Indonesia,"4,542,601","144,636"
烏克蘭,Ukraine,"4,307,437","101,392"
南非,South Africa,"3,625,190","96,021"
菲律賓,Philippines,"3,616,387","54,538"
日本,Japan,"3,383,404","19,457"
秘魯,Peru,"3,363,489","206,984"
比利時,Belgium,"3,296,038","29,227"
捷克,Czech Republic,"3,243,698","37,478"
以色列,Israel,"3,218,391","9,180"
加拿大,Canada,"3,136,690","34,815"
葡萄牙,Portugal,"2,932,990","20,258"
馬來西亞,Malaysia,"2,925,254","32,043"
澳洲,Australia,"2,750,562","4,243"
泰國,Thailand,"2,507,471","22,303"
瑞士,Switzerland,"2,433,226","12,459"
羅馬尼亞,Romania,"2,418,779","60,723"
智利,Chile,"2,405,672","40,060"
越南,Vietnam,"2,358,786","38,424"
瑞典,Sweden,"2,287,785","16,180"
伊拉克,Iraq,"2,253,484","24,543"
奧地利,Austria,"2,084,227","14,246"
希臘,Greece,"2,066,696","24,210"
丹麥,Denmark,"1,982,272","3,935"
孟加拉,Bangladesh,"1,870,901","28,627"
塞爾維亞,Serbia,"1,779,782","14,054"
匈牙利,Hungary,"1,650,562","41,975"
巴基斯坦,Pakistan,"1,463,111","29,516"
約旦,Jordan,"1,351,733","13,347"
喬治亞,Georgia,"1,325,838","15,246"
哈薩克,Kazakhstan,"1,274,607","13,464"
愛爾蘭,Ireland,"1,221,082","6,228"
摩洛哥,Morocco,"1,147,964","15,617"
斯洛伐克,Slovakia,"1,127,020","17,973"
古巴,Cuba,"1,054,909","8,443"
韓國,South Korea,"1,044,963","6,886"
保加利亞,Bulgaria,"995,436","33,770"
克羅埃西亞,Croatia,"985,050","14,194"
黎巴嫩,Lebanon,"978,125","9,730"
尼泊爾,Nepal,"967,427","11,827"
突尼西亞,Tunisia,"945,453","26,693"
挪威,Norway,"911,212","1,467"
玻利維亞,Bolivia,"871,749","21,129"
阿拉伯聯合大公國,UAE,"859,361","2,265"
斯洛維尼亞,Slovenia,"799,955","5,990"
白俄羅斯,Belarus,"783,260","6,159"
厄瓜多,Ecuador,"769,149","34,739"
立陶宛,Lithuania,"756,206","7,999"
烏拉圭,Uruguay,"733,010","6,656"
巴拿馬,Panama,"727,413","7,844"
哥斯大黎加,Costa Rica,"721,971","7,641"
沙烏地阿拉伯,Saudi Arabia,"712,644","8,957"
瓜地馬拉,Guatemala,"712,057","16,509"
亞塞拜然,Azerbaijan,"703,334","8,898"
斯里蘭卡,Sri Lanka,"620,732","15,621"
巴拉圭,Paraguay,"610,207","17,653"
巴勒斯坦,Palestine,"586,355","5,181"
科威特,Kuwait,"583,113","2,511"
多明尼加,Dominican,"563,657","4,329"
緬甸,Myanmar,"538,409","19,310"
芬蘭,Finland,"534,790","2,095"
委內瑞拉,Venezuela,"496,283","5,487"
摩爾多瓦,Moldova,"468,782","10,776"
衣索比亞,Ethiopia,"466,677","7,373"
拉脫維亞,Latvia,"453,751","4,960"
利比亞,Libya,"452,950","6,080"
蒙古,Mongolia,"449,590","2,055"
埃及,Egypt,"441,923","22,993"
巴林,Bahrain,"428,123","1,414"
新加坡,Singapore,"405,629",874
宏都拉斯,Honduras,"397,548","10,548"
亞美尼亞,Armenia,"391,588","8,097"
愛沙尼亞,Estonia,"385,567","2,065"
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"356,930","14,800"
阿曼,Oman,"354,597","4,180"
卡達,Qatar,"346,546",652
肯亞,Kenya,"322,151","5,621"
尚比亞,Zambia,"307,317","3,933"
北馬其頓,North Macedonia,"278,872","8,599"
賽普勒斯,Cyprus,"273,634",745
阿爾巴尼亞,Albania,"264,875","3,387"
阿爾及利亞,Algeria,"258,478","6,654"
波札那,Botswana,"256,041","2,585"
奈及利亞,Nigeria,"253,780","3,139"
辛巴威,Zimbabwe,"230,402","5,362"
烏茲別克,Uzbekistan,"229,628","1,586"
莫三比克,Mozambique,"224,347","2,183"
蒙特內哥羅,Montenegro,"223,774","2,610"
科索沃,Kosovo,"218,282","3,051"
吉爾吉斯,Kyrgyzstan,"199,519","2,905"
盧森堡,Luxembourg,"168,988",964
阿富汗,Afghanistan,"166,924","7,442"
烏干達,Uganda,"162,308","3,561"
迦納,Ghana,"157,646","1,415"
納米比亞,Namibia,"156,371","3,980"
馬爾地夫,Maldives,"151,913",284
寮國,Laos,"136,720",574
薩爾瓦多,El Salvador,"135,109","3,942"
盧安達,Rwanda,"129,157","1,447"
牙買加,Jamaica,"126,222","2,698"
柬埔寨,Cambodia,"121,881","3,015"
喀麥隆,Cameroon,"117,676","1,907"
千里達及托巴哥,Trinidad and Tobago,"115,843","3,467"
中國大陸,China,"106,527","4,636"
安哥拉,Angola,"98,364","1,896"
剛果民主共和國,DR Congo,"85,686","1,316"
塞內加爾,Senegal,"85,237","1,956"
馬拉威,Malawi,"84,844","2,573"
象牙海岸,Ivory Coast,"80,938",787
冰島,Iceland,"78,201",50
蘇利南,Suriname,"75,531","1,283"
模里西斯,Mauritius,"70,862",786
馬爾他,Malta,"69,175",570
史瓦帝尼,Eswatini,"68,579","1,378"
斐濟,Fiji,"63,356",813
蓋亞那,Guyana,"61,616","1,182"
馬達加斯加,Madagascar,"61,434","1,307"
蘇丹,Sudan,"59,194","3,604"
茅利塔尼亞,Mauritania,"58,490",969
維德角,Cape Verde,"55,802",398
貝里斯,Belize,"53,544",629
敘利亞,Syria,"51,915","3,008"
巴貝多,Barbados,"48,239",286
加彭,Gabon,"47,247",302
塞席爾,Seychelles,"38,120",157
蒲隆地,Burundi,"37,562",38
巴布亞紐幾內亞,Papua New Guinea,"37,390",597
安道爾,Andorra,"36,808",147
多哥,Togo,"36,605",269
幾內亞,Guinea,"36,270",432
坦尚尼亞,Tanzania,"33,230",789
巴哈馬,Bahamas,"32,773",753
賴索托,Lesotho,"32,258",694
馬利,Mali,"30,215",715
海地,Haiti,"29,715",804
貝南,Benin,"26,498",163
剛果共和國,Congo,"23,792",375
聖露西亞,Saint Lucia,"21,535",341
布吉納法索,Burkina Faso,"20,683",372
東帝汶,East Timor,"20,501",122
臺灣,Taiwan,"19,192",851
索馬利亞,Somalia,"18,863",930
汶萊,Brunei,"18,152",102
塔吉克,Tajikistan,"17,745",125
紐西蘭,New Zealand,"17,612",53
南蘇丹,South Sudan,"16,851",137
香港,Hong Kong,"16,022",213
赤道幾內亞,Equatorial Guinea,"15,845",182
吉布地,Djibouti,"15,524",189
中非,Central Africa,"14,023",110
尼加拉瓜,Nicaragua,"13,727",221
聖馬利諾,San Marino,"12,884",109
格瑞那達,Grenada,"12,872",211
甘比亞,Gambia,"11,880",364
葉門,Yemen,"11,166","2,028"
索馬利蘭,Somaliland,"9,890",610
列支敦斯登,Liechtenstein,"9,764",74
多米尼克,Dominica,"9,722",51
厄利垂亞,Eritrea,"9,644",101
摩納哥,Monaco,"8,808",46
尼日,Niger,"8,691",303
葛摩,Comoros,"7,964",160
幾內亞比索,Guinea-Bissau,"7,772",158
獅子山,Sierra Leone,"7,628",125
賴比瑞亞,Liberia,"7,276",290
查德,Chad,"7,155",190
安地卡及巴布達,Antigua and Barbuda,"6,853",131
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"6,705",99
不丹,Bhutan,"6,300",4
聖多美普林西比,Sao Tome and Principe,"5,912",71
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"5,476",38
索羅門群島,Solomon islands,"3,182",33
帛琉,Palau,"2,716",0
吉里巴斯,Kiribati,"1,543",0
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
澳門,Macao,79,0
薩摩亞,Samoa,33,0
教廷,Holy See,29,0
東加,Tonga,8,0
萬那杜,Vanuatu,7,1
馬紹爾群島,Marshall Islands,7,0
密克羅尼西亞聯邦,Micronesia,1,0
庫克群島,Cook Islands,1,0